2014-02-22T15:44:52.991536Z <001>    11 MB info    | loading project file ./13_00_01.0250.appleseed.jonathans-mbp-2_lan...
2014-02-22T15:44:53.011705Z <001>    13 MB info    | loaded mesh file ./_geometry/Home_set_01_angle_poise_lamp_geo_lamp_arm_Shape2_1_6.obj (1 object, 16 vertices, 24 triangles) in 0 ms.
2014-02-22T15:44:53.011854Z <001>    13 MB info    | loaded mesh file ./_geometry/Home_set_01_angle_poise_lamp_geo_lamp_arm_Shape1_2_6.obj (1 object, 16 vertices, 24 triangles) in 0 ms.
2014-02-22T15:44:53.012401Z <001>    13 MB info    | loaded mesh file ./_geometry/Home_set_01_angle_poise_lamp_polySurfaceShape16_3_250.obj (1 object, 36 vertices, 60 triangles) in 0 ms.
2014-02-22T15:44:53.013106Z <001>    13 MB info    | loaded mesh file ./_geometry/Home_set_01_angle_poise_lamp_geo_lamp_arm_Shape5_4_250.obj (1 object, 60 vertices, 100 triangles) in 1 ms.
2014-02-22T15:44:53.013426Z <001>    13 MB info    | loaded mesh file ./_geometry/Home_set_01_angle_poise_lamp_geo_lamp_arm_Shape4_5_6.obj (1 object, 8 vertices, 12 triangles) in 0 ms.
2014-02-22T15:44:53.013557Z <001>    13 MB info    | loaded mesh file ./_geometry/Home_set_01_angle_poise_lamp_geo_lamp_arm_Shape3_6_6.obj (1 object, 8 vertices, 12 triangles) in 0 ms.
2014-02-22T15:44:53.014000Z <001>    13 MB info    | loaded mesh file ./_geometry/Home_set_01_angle_poise_lamp_geo_lamp_wire_Shape1_7_250.obj (1 object, 40 vertices, 70 triangles) in 0 ms.
2014-02-22T15:44:53.014747Z <001>    13 MB info    | loaded mesh file ./_geometry/Home_set_01_angle_poise_lamp_geo_lamp_headShape_8_250.obj (1 object, 133 vertices, 240 triangles) in 1 ms.
2014-02-22T15:44:53.015561Z <001>    13 MB info    | loaded mesh file ./_geometry/Home_set_01_angle_poise_lamp_geo_lamp_arm_Shape6_9_250.obj (1 object, 96 vertices, 172 triangles) in 1 ms.
2014-02-22T15:44:53.016063Z <001>    13 MB info    | loaded mesh file ./_geometry/Home_set_01_angle_poise_lamp_geo_lamp_wire_Shape2_10_250.obj (1 object, 70 vertices, 130 triangles) in 0 ms.
2014-02-22T15:44:53.016461Z <001>    13 MB info    | loaded mesh file ./_geometry/Home_set_01_angle_poise_lamp_geo_lamp_plugShape_11_6.obj (1 object, 219 vertices, 406 triangles) in 0 ms.
2014-02-22T15:44:53.016633Z <001>    13 MB info    | loaded mesh file ./_geometry/Home_set_01_angle_poise_lamp_geo_lamp_baseShape_12_6.obj (1 object, 34 vertices, 64 triangles) in 0 ms.
2014-02-22T15:44:53.016777Z <001>    13 MB info    | loaded mesh file ./_geometry/Home_set_01_angle_poise_lamp_pCylinderShape18_13_6.obj (1 object, 20 vertices, 30 triangles) in 0 ms.
2014-02-22T15:44:53.017439Z <001>    13 MB info    | loaded mesh file ./_geometry/Home_set_01_bike1_geo_bike_front_wheelShape_16_6.obj (1 object, 476 vertices, 660 triangles) in 1 ms.
2014-02-22T15:44:53.017895Z <001>    13 MB info    | loaded mesh file ./_geometry/Home_set_01_bike1_geo_bike_forksShape_15_6.obj (1 object, 277 vertices, 514 triangles) in 0 ms.
2014-02-22T15:44:53.018091Z <001>    13 MB info    | loaded mesh file ./_geometry/Home_set_01_bike1_geo_bike_chainShape_17_6.obj (1 object, 78 vertices, 144 triangles) in 0 ms.
2014-02-22T15:44:53.018628Z <001>    13 MB info    | loaded mesh file ./_geometry/Home_set_01_bike1_geo_bike_back_wheelShape_18_6.obj (1 object, 428 vertices, 564 triangles) in 0 ms.
2014-02-22T15:44:53.018969Z <001>    13 MB info    | loaded mesh file ./_geometry/Home_set_01_bike1_geo_bike_left_pedalShape_20_6.obj (1 object, 28 vertices, 60 triangles) in 0 ms.
2014-02-22T15:44:53.019524Z <001>    13 MB info    | loaded mesh file ./_geometry/Home_set_01_bike1_geo_bike_right_pedalShape_21_6.obj (1 object, 28 vertices, 60 triangles) in 0 ms.
2014-02-22T15:44:53.019718Z <001>    13 MB info    | loaded mesh file ./_geometry/Home_set_01_bike1_geo_bike_pedalsShape_19_6.obj (1 object, 90 vertices, 160 triangles) in 0 ms.
2014-02-22T15:44:53.020273Z <001>    13 MB info    | loaded mesh file ./_geometry/Home_set_01_bike1_geo_bike_bodyShape_14_6.obj (1 object, 398 vertices, 724 triangles) in 0 ms.
2014-02-22T15:44:53.020521Z <001>    13 MB info    | loaded mesh file ./_geometry/Home_set_01_books_pCubeShape1_22_6.obj (1 object, 108 vertices, 212 triangles) in 0 ms.
2014-02-22T15:44:53.020701Z <001>    13 MB info    | loaded mesh file ./_geometry/Home_set_01_books_pCubeShape3_23_6.obj (1 object, 60 vertices, 116 triangles) in 0 ms.
2014-02-22T15:44:53.020955Z <001>    13 MB info    | loaded mesh file ./_geometry/Home_set_01_books_pCubeShape4_24_6.obj (1 object, 90 vertices, 176 triangles) in 0 ms.
2014-02-22T15:44:53.021204Z <001>    13 MB info    | loaded mesh file ./_geometry/Home_set_01_books_pCubeShape5_25_6.obj (1 object, 124 vertices, 244 triangles) in 0 ms.
2014-02-22T15:44:53.021453Z <001>    13 MB info    | loaded mesh file ./_geometry/Home_set_01_books_pCubeShape6_26_6.obj (1 object, 95 vertices, 186 triangles) in 0 ms.
